timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
272565,118,-398,4292,32,-18,-38,115
272570,127,-386,4290,39,-2,-35,115
272575,113,-394,4301,44,-13,-41,115
272580,118,-398,4297,36,-13,-38,115
272585,128,-403,4327,34,-11,-39,115
272590,116,-399,4310,30,-15,-38,115
272595,113,-393,4308,29,-5,-37,115
272600,116,-399,4303,31,-9,-47,115
272605,124,-397,4309,41,-18,-44,115
272610,116,-403,4313,31,-10,-42,115
272615,110,-396,4297,36,-12,-45,115
272620,136,-384,4302,29,-13,-43,115
272625,71,-289,4468,37,-22,-38,115
272630,-228,25,5029,29,46,-86,115
272635,-537,242,4464,-18,258,-226,115
272640,-592,208,5699,-126,251,-414,115
272645,-1133,287,2637,-87,857,-618,115
272650,-1269,27,9900,-138,-72,-875,115
272655,-4355,-2419,6645,-1224,1932,-993,115
272660,-4365,-2453,-2215,-487,3146,-329,115
272665,-2181,-516,3104,-525,483,641,115
272670,-1156,185,3894,-112,408,770,115
272675,866,731,2339,33,721,762,115
272680,-1053,433,4736,-264,-106,320,115
272685,-1279,2243,-629,85,550,-176,115
272690,-1279,-599,2222,-664,-1228,-888,115
272695,-1439,-2212,6261,-22,-1892,-1137,115
272700,-584,-1285,3882,388,-1309,-778,115
272705,-926,-1280,3377,221,-1638,-334,115
272710,354,-1249,8123,413,-2055,-28,115
272715,-758,-1164,3252,2941,-496,26,115
272720,-253,42,6004,2757,-1122,-2,115
272725,-862,2330,8873,1694,-989,-96,115
272730,284,-172,5853,-1459,941,-73,115
272735,451,-232,7767,-967,1536,-125,115
272740,-569,-726,5822,-833,1671,-92,115
272745,-165,306,3592,-180,2117,-50,115
272750,-249,254,238,-311,2265,-94,115
272755,-963,-431,1884,-693,881,-203,116
272760,-1215,-282,438,-172,297,-206,116
272765,-222,-242,3241,-590,-724,-290,116
272770,-876,-318,3607,115,-498,-327,116
272775,-1479,68,3485,-145,-440,-251,116
272780,-1338,3,5346,-851,-767,-385,116
272785,-1169,-1249,3733,-745,-474,-473,116
272790,-486,-193,6183,-137,-1151,-372,116
272795,-307,-585,5905,507,-505,-382,116
272800,-537,164,2555,355,56,-423,116
272805,-258,-1581,3681,-266,-904,-551,116
272810,-122,-1039,3544,-216,-1077,-333,116
272815,340,-568,7187,-568,-1159,-130,116
272820,-108,60,4872,-725,129,-68,116
272825,-502,158,5007,-723,-21,-95,116
272830,-336,55,6192,-512,-187,-248,116
272835,-226,-420,2302,1167,790,-449,116
272840,-244,-387,3177,534,173,-487,116
272845,-56,-1518,2238,-317,-253,-413,116
272850,460,-1973,2939,-277,-1204,-79,116
272855,352,250,7185,-64,-1743,319,116
272860,136,261,6645,-676,-922,329,116
272865,-190,-335,3777,-251,-774,141,116
272870,137,-46,4903,111,-1285,62,116
272875,145,-411,5296,692,-750,-94,116
272880,-41,-568,3490,302,-10,-148,116
272885,159,-1413,4665,-72,-223,-135,116
272890,202,-636,3566,560,-123,-34,116
272895,255,281,6543,490,-383,40,116
272900,338,-589,4288,-155,585,25,116
272905,-143,-711,2290,187,669,129,116
272910,288,-386,4210,477,-386,257,116
272915,374,377,6710,508,-349,240,116
272920,-221,-70,3441,265,718,137,116
272925,-245,139,3122,129,182,-51,116
272930,306,-1246,5599,94,-221,-245,116
272935,286,-379,5324,187,317,-129,116
272940,-62,-357,3131,136,672,-83,116
272945,-34,-619,3284,270,97,-75,116
272950,365,-1376,4778,727,-267,-54,116
272955,22,-49,5433,570,82,137,116
272960,-467,-884,2530,-276,565,259,116
272965,12,-1230,4903,94,-184,359,116
272970,160,-975,4404,45,325,572,116
272975,-67,479,6858,-53,617,693,116
272980,1,-168,4285,-640,1832,559,116
272985,234,848,3624,-202,2218,439,116
272990,-240,2178,1467,1254,2071,-152,116
272995,934,-973,-3754,2039,403,-1431,116
273000,953,-3618,-1150,-2008,-2325,-850,117
273005,-1785,-1673,6295,-1034,-5006,47,117
273010,-1438,-2158,4545,613,-4564,714,117
273015,-27,409,9571,3057,-4191,944,117
273020,1339,2143,15009,-787,-2007,1086,117
273025,1959,-80,8535,462,679,545,117
273030,351,-1918,8013,826,1290,126,117
273035,152,-1484,9,1325,3808,217,117
273040,332,655,-1494,1574,2521,370,117
273045,-569,1066,2626,84,656,282,117
273050,757,1227,-799,-1077,1001,135,117
273055,-281,-976,-1136,-730,186,-126,117
273060,1316,-630,546,311,-1435,-101,117
273065,1078,12,10721,318,-2983,81,117
273070,1138,-224,7577,-807,-446,72,117
273075,369,-493,9206,-550,370,130,117
273080,724,-96,4941,-9,1170,116,117
273085,1132,-125,6692,184,806,-148,117
273090,525,-246,3306,-45,1914,-195,117
273095,60,-330,1444,-234,1821,-195,117
273100,293,-965,863,127,842,-226,117
273105,563,-722,5932,-143,-85,-121,117
273110,150,-318,3864,-618,772,134,117
273115,246,-67,2986,-289,698,197,117
273120,306,-181,3114,462,79,-19,117
273125,488,-312,5486,766,-390,-186,117
273130,294,-235,7127,153,-160,-274,117
273135,-379,-946,2583,-76,605,-343,117
273140,-509,-777,3489,243,-253,-434,117
273145,88,-1570,3873,591,-303,-379,117
273150,34,-686,3265,704,-100,-25,117
273155,337,139,6030,67,-418,243,117
273160,69,-318,2072,-243,506,343,117
273165,206,603,4070,300,-377,306,117
273170,486,477,5988,458,-413,14,117
273175,590,111,6682,-111,116,-150,117
273180,349,-549,4510,-323,826,-140,117
273185,539,-66,4519,112,413,-136,117
273190,599,673,5437,734,184,-344,117
273195,413,-450,2406,426,701,-586,117
273200,281,-702,3472,-4,356,-569,117
273205,25,-1426,1028,169,421,-414,117
273210,241,-822,5053,193,-685,-122,117
273215,382,-431,3056,327,-154,-45,117
273220,372,-616,7706,45,-584,-18,117
273225,202,-377,5855,-202,565,98,117
273230,58,-362,4574,230,948,64,117
273235,645,-1061,4744,429,732,-33,117
273240,821,-1243,3340,747,931,52,117
273245,339,86,5484,632,653,222,117
273250,-71,-809,2273,167,1007,143,118
273255,124,-915,1987,-68,249,288,118
273260,-73,76,3182,351,-366,479,118
273265,-241,449,2549,177,-241,460,118
273270,-133,-237,3632,-52,-458,320,118
273275,240,164,6948,-734,-365,342,118
273280,-64,-501,3517,-503,877,288,118
273285,549,581,7627,-67,435,314,118
273290,502,-230,7980,156,1772,45,118
273295,171,-202,2472,448,3452,-154,118
273300,19,-1096,2394,2164,2294,-544,118
273305,3151,-1142,8536,1771,330,-1008,118
273310,171,-1771,953,-1160,1308,-401,118
273315,281,-1337,1262,-990,-943,117,118
273320,678,-324,8067,218,-2880,343,118
273325,40,-472,5479,257,-1269,405,118
273330,-787,-156,2081,-172,-724,629,118
273335,-140,1617,7658,-566,-1764,729,118
273340,-16,1052,3254,-953,267,192,118
273345,60,762,3166,-398,603,-307,118
273350,553,760,6335,-547,525,-531,118
273355,150,-1710,2521,-919,1294,-695,118
273360,460,-364,5107,-900,245,-463,118
273365,302,277,1616,-1251,655,-416,118
273370,612,-362,5907,-1263,-414,-366,118
273375,369,-9,5929,-611,126,-220,118
273380,-46,-1462,2518,118,764,-331,118
273385,279,-1049,4358,423,-135,-227,118
273390,91,-506,3359,72,-101,-222,118
273395,399,-1395,5161,221,-465,-380,118
273400,295,187,5411,101,-243,-389,118
273405,-82,-1045,3589,161,289,-485,118
273410,142,-1112,5773,407,-113,-384,118
273415,194,-1064,4244,671,399,-255,118
273420,138,-1237,3879,547,311,-42,118
273425,24,-754,4125,709,65,191,118
273430,237,-511,5476,434,-62,351,118
273435,180,-50,4154,206,153,479,118
273440,88,34,4152,75,88,506,118
273445,84,12,4042,108,92,439,118
273450,174,-197,3791,32,-47,338,118
273455,179,-240,3932,252,-119,259,118
273460,276,184,5411,37,-252,205,118
273465,126,-28,5446,-18,89,75,118
273470,58,-59,4356,94,441,-78,118
273475,-88,-615,4283,126,510,-213,118
273480,37,-1179,2931,114,509,-195,118
273485,278,-587,3290,452,26,-21,118
273490,295,-11,5158,484,-373,66,118
273495,133,-648,3908,164,23,28,118
273500,74,-250,5065,158,-99,66,118
273505,-24,-45,4711,379,132,14,118
273510,75,-336,4175,252,265,-117,118
273515,361,-868,3959,394,206,-146,118
273520,230,-189,4213,690,44,-46,118
273525,167,-144,5498,255,-10,25,118
273530,47,-557,4173,215,359,35,118
273535,69,-386,4277,325,149,106,118
273540,203,-462,4220,171,214,154,118
273545,131,-520,3408,107,290,205,118
273550,210,-333,4162,326,-60,220,118
273555,32,-301,3761,518,-33,159,118
273560,50,156,5946,444,-241,41,118
273565,-59,-98,4504,195,315,-127,118
273570,-140,-179,4796,157,484,-217,118
273575,-86,-335,4382,444,575,-300,118
273580,64,-1003,3218,379,487,-338,118
273585,326,-1037,2525,347,109,-140,118
273590,136,159,6847,122,-490,124,118
273595,-119,-133,2887,143,339,107,118
273600,99,-136,4689,80,-289,81,118
273605,-79,19,4378,103,195,33,119
273610,-68,-240,3817,373,277,-127,119
273615,315,-992,4222,644,-4,-208,119
273620,95,-741,4587,486,209,17,119
273625,-213,-266,4735,151,447,177,119
273630,228,-353,4579,47,316,190,119
273635,-1,384,5134,220,397,197,119
273640,-254,-342,3937,125,801,57,119
273645,164,-814,2766,75,676,28,119
273650,60,-474,3401,416,178,98,119
273655,31,-484,4631,335,-136,131,119
273660,117,207,4184,-80,76,157,119
273665,116,-111,5170,-183,50,50,119
273670,-142,244,4886,-106,189,-54,119
273675,-165,538,4162,188,309,-267,119
273680,205,-487,3782,160,258,-494,119
273685,-23,-726,4275,181,116,-460,119
273690,-131,-232,5135,-26,91,-314,119
273695,-20,-742,3528,-168,309,-265,119
273700,99,-515,4456,-165,-74,-167,119
273705,-67,398,4728,-29,52,-126,119
273710,-53,143,1599,-127,349,-294,119
273715,141,-636,2780,-298,-532,-380,119
273720,175,-310,4693,-440,-966,-244,119
273725,-196,272,4321,-711,-666,-123,119
273730,-229,318,4997,-839,-693,-212,119
273735,-2,-607,4871,-969,-748,-300,119
273740,792,122,9967,-38,-888,-255,119
273745,953,-1040,4801,479,429,-430,119
273750,948,-2810,7011,1133,-572,-402,119
273755,1247,-2013,5681,529,205,194,119
273760,378,-1456,4650,635,660,601,119
273765,663,-995,5503,873,394,872,119
273770,149,694,3887,1112,975,948,119
273775,47,132,3363,1000,1086,763,119
273780,126,429,2717,806,1003,628,119
273785,142,359,3612,537,664,468,119
273790,-86,-18,2345,451,721,354,119
273795,-88,-63,5324,213,297,294,119
273800,-380,-320,4897,-218,696,306,119
273805,-316,-348,4502,-154,649,374,119
273810,-29,-40,3603,-132,392,379,119
273815,-30,222,3233,170,53,199,119
273820,-54,202,4694,369,-545,-20,119
273825,62,-346,4268,258,-461,-154,119
273830,-227,-388,2641,441,-611,-245,119
273835,-133,-269,5187,556,-1157,-353,119
273840,-63,-121,4556,-37,-511,-422,119
273845,75,-383,4610,4,-334,-483,119
273850,-84,-113,4161,133,-205,-510,119
273855,23,-144,3984,58,-126,-528,119
273860,129,-347,4126,298,-150,-510,119
273865,82,-386,4126,268,-112,-368,119
273870,42,-453,4348,303,-71,-223,119
273875,115,-496,5200,103,-79,-125,119
273880,142,-825,4598,-209,149,-16,119
273885,-231,-249,4163,-276,101,120,119
273890,-188,-43,4269,-172,-26,99,119
273895,65,-129,3321,-62,-20,-23,119
273900,-52,-241,4209,13,-251,-116,119
273905,-97,-301,4464,208,-215,-168,119
273910,134,-330,5885,43,-226,-203,119
273915,69,-1014,5342,-33,204,-198,119
273920,-158,-699,4013,-40,228,-5,119
273925,35,-533,3694,-28,87,142,119
273930,212,230,3700,-11,-94,215,119
273935,285,218,3947,152,-216,87,119
273940,227,126,5642,120,-311,-64,119
273945,50,-216,4828,61,172,-160,119
273950,-71,-202,4098,33,352,-253,119
273955,-125,-205,4703,67,295,-334,119
