timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
385550,336,-76,4316,30,-1,-39,229
385555,335,-75,4310,31,-11,-41,229
385560,339,-86,4293,35,-17,-40,229
385565,345,-80,4322,35,-12,-39,229
385570,347,-80,4337,34,-10,-44,229
385575,335,-79,4305,37,-9,-39,229
385580,325,-76,4314,40,-15,-34,229
385585,338,-66,4297,34,-19,-43,229
385590,339,-86,4309,38,-12,-37,229
385595,337,-78,4322,41,-13,-43,229
385600,335,-82,4323,33,-12,-40,229
385605,350,-81,4306,39,-14,-38,229
385610,342,-82,4311,35,-12,-42,229
385615,327,-69,4315,39,-10,-43,229
385620,294,-64,4347,42,-16,-47,229
385625,167,185,4004,243,-2,-63,229
385630,-8,374,4548,365,-59,-171,229
385635,-246,-395,5320,-33,120,-270,229
385640,-930,364,6945,250,679,-235,229
385645,-2897,635,5890,162,1677,-361,229
385650,-3062,-1612,2721,-313,1367,-546,229
385655,-2782,-2012,4426,-1060,412,-61,229
385660,-2866,112,3399,186,652,339,229
385665,-389,1254,2562,-93,796,320,229
385670,-449,1798,3551,-561,399,-21,229
385675,-117,881,5020,-538,99,-514,229
385680,127,-1844,5802,-609,108,-757,229
385685,-536,-847,3315,540,1130,-375,229
385690,-561,-353,2465,237,595,24,229
385695,-792,-1052,4714,-581,-626,163,229
385700,-1114,-586,3747,-3,-425,380,229
385705,-1111,2,2515,441,-298,454,229
385710,-941,472,2733,630,-627,296,229
385715,-650,1282,4524,552,-899,-55,229
385720,-627,-428,4512,-490,-618,-423,229
385725,-666,-141,5853,401,-559,-445,229
385730,-848,454,7107,364,-474,-481,229
385735,-568,413,4361,-617,477,-434,229
385740,-231,-274,6998,-673,329,-448,229
385745,-116,-805,5039,7,1200,-331,229
385750,16,600,2212,857,1473,-92,229
385755,-256,575,1026,566,769,-177,229
385760,-561,17,3064,-5,-65,-229,229
385765,-959,407,4190,38,80,-334,229
385770,-443,-323,4818,-137,140,-519,229
385775,-609,-1019,3372,121,-45,-457,229
385780,-531,-764,5893,-897,-599,-231,229
385785,-679,300,7842,-1678,325,-18,229
385790,-573,652,3691,-68,1334,-146,229
385795,325,-427,1666,1142,668,-474,229
385800,73,945,6393,1214,-224,-504,229
385805,-143,-561,3050,-116,703,-492,229
385810,-574,-1210,3235,239,-38,-476,229
385815,154,220,9192,-514,-805,-189,229
385820,-9,-282,5911,-925,1151,-96,229
385825,-178,-671,3618,332,1584,-121,229
385830,148,364,1699,475,824,45,229
385835,-459,677,2102,923,218,-37,229
385840,-374,772,5104,-201,330,-158,229
385845,52,-359,3322,490,785,-418,229
385850,1074,-169,5365,1818,66,-615,229
385855,-28,-13,3867,-35,436,-581,229
385860,834,-521,6281,-682,-41,-491,229
385865,380,170,7072,366,-45,-387,229
385870,-11,-133,3707,652,701,-354,229
385875,41,-211,4831,-147,278,-239,229
385880,170,-731,3921,1392,859,-258,230
385885,514,-581,3412,1082,775,-164,230
385890,127,-442,3744,-1056,561,45,230
385895,-139,-251,4992,-467,508,86,230
385900,23,-264,3553,371,461,69,230
385905,172,1101,2915,1151,178,98,230
385910,-419,891,2634,1653,284,-148,230
385915,-483,-1000,2147,319,-353,-338,230
385920,-156,-762,5566,610,-1076,-202,230
385925,389,-414,8371,-132,-323,-106,230
385930,697,-1014,5380,-1081,963,85,230
385935,331,373,6377,-340,500,288,230
385940,-189,396,2523,503,1235,169,230
385945,-236,598,-5018,1390,1223,33,230
385950,271,55,4466,-726,-1985,61,230
385955,1,-558,7417,513,-984,85,230
385960,-318,1053,803,245,820,185,230
385965,-201,-455,4628,-687,-859,-135,230
385970,814,796,11642,61,-1312,-303,230
385975,-590,-276,4712,-588,1611,-360,230
385980,321,-368,2388,-516,1567,-309,230
385985,488,-337,2963,-611,573,-132,230
385990,-376,736,124,-102,538,-57,230
385995,-155,588,1490,-978,-703,-121,230
386000,-126,398,4055,268,-940,-367,230
386005,13,578,2616,1051,-358,-542,230
386010,-465,-316,1817,-41,-1148,-807,230
386015,284,-2439,9285,-2189,-2748,-511,230
386020,-409,-219,8012,-415,-1130,163,230
386025,-478,985,4005,1024,-362,166,230
386030,357,841,3987,-207,-855,-88,230
386035,770,-791,4730,-888,-631,-191,230
386040,412,-503,5482,354,-671,-231,230
386045,270,231,3771,874,-365,-289,230
386050,254,-664,2954,-1002,-627,-171,230
386055,-103,574,5340,2,-800,-88,230
386060,1085,316,6419,952,29,-342,230
386065,-1165,-881,973,-677,755,-251,230
386070,103,-20,2725,-976,-299,97,231
386075,590,-239,7219,154,-287,-59,231
386080,1152,65,4100,-1752,664,92,231
386085,957,737,8190,-407,-597,257,231
386090,399,478,5622,328,-198,105,231
386095,-341,-1695,-690,734,463,18,231
386100,156,1994,4839,772,-1542,20,231
386105,387,-264,6340,-313,-1000,-438,231
386110,-138,-1437,1117,-307,-382,-490,231
386115,39,-781,6441,-468,-2279,-279,231
386120,189,124,7411,-275,-1280,-161,231
386125,564,-220,1531,-216,110,-147,231
386130,435,-467,6739,36,-873,-152,231
386135,390,-1127,1233,659,209,-24,231
386140,717,176,5710,255,-617,243,231
386145,280,-529,1548,371,268,317,231
386150,1102,-141,4049,-1810,-606,788,231
386155,1484,1372,7782,-1831,-1142,960,231
386160,1319,2339,4560,-167,-53,386,231
386165,591,1231,3088,200,98,-299,231
386170,1161,1235,4480,559,-256,-794,231
386175,1042,-1126,5404,-704,160,-1152,231
386180,-393,-1525,-1462,-577,1014,-1027,231
386185,376,553,4909,-1389,-1264,-646,231
386190,1188,-525,8152,-888,-1049,-742,231
386195,-80,273,2758,-14,278,-601,231
386200,583,-544,6936,-140,-923,-514,231
386205,1558,-445,6673,-1128,-60,-333,231
386210,444,162,4603,-157,1097,-362,231
386215,536,1160,4112,963,758,-670,231
386220,448,-3043,3399,1614,1058,-1055,231
386225,962,225,5886,731,964,-593,231
386230,86,-1469,1288,-765,2124,-408,231
386235,232,-1250,1199,279,1303,-271,231
386240,653,-478,3688,584,284,22,231
386245,785,2391,9346,572,-100,158,231
386250,-5,91,361,-728,1565,-79,231
386255,140,-1729,5024,-868,-205,-27,231
386260,-86,1188,5649,794,-18,105,231
386265,317,640,4365,910,538,-157,231
386270,714,-1394,4064,470,468,-305,231
386275,1141,-115,5043,263,448,-100,231
386280,519,-217,3787,-223,704,9,231
386285,142,-245,3156,-387,466,-17,231
386290,120,-227,3572,178,70,-92,232
386295,85,-607,1997,1053,159,-33,232
386300,240,-243,409,1453,13,149,232
386305,703,388,5091,652,-695,183,232
386310,642,-185,5847,-469,-103,71,232
386315,161,-960,2721,865,92,123,232
386320,638,1287,8360,520,-750,208,232
386325,463,573,7272,394,860,-35,232
386330,64,-106,2600,619,1469,-194,232
386335,162,-481,3452,941,972,-306,232
386340,630,-503,2320,1139,676,-311,232
386345,562,29,2702,149,488,-141,232
386350,-161,-185,1961,-4,313,-53,232
386355,128,177,3657,-470,-551,107,232
386360,488,326,6803,300,-838,85,232
386365,308,386,1898,391,102,-19,232
386370,334,-714,7144,-351,-893,62,232
386375,114,258,6401,-15,-79,253,232
386380,684,617,4876,-329,667,180,232
386385,498,96,5432,-94,619,-68,232
386390,383,-865,3109,-221,1053,-134,232
386395,62,-349,1613,17,833,-12,232
386400,-83,1110,3037,187,172,36,232
386405,486,-44,3503,56,-108,-174,232
386410,408,-10,3247,-420,-413,-141,232
386415,146,-311,5444,-261,-935,-92,232
386420,-256,732,3795,248,-738,-88,232
386425,513,428,8599,43,-697,-357,232
386430,629,-929,3737,-56,515,-557,232
386435,647,-728,6083,-200,-1,-348,232
386440,622,-29,3455,285,403,-278,232
386445,623,-384,3423,-181,-61,-224,232
386450,721,-769,4644,-398,-493,-61,232
386455,395,547,2510,-193,-385,236,232
386460,-67,332,1075,160,-776,165,232
386465,152,-513,1364,-421,-1492,139,232
386470,299,-265,4083,-930,-2116,307,232
386475,1383,1225,9431,-1067,-1644,469,232
386480,392,1351,4935,122,-492,2,232
386485,1276,-424,11457,163,-1478,-649,232
386490,342,-1184,4261,747,1293,-741,232
386495,589,-1018,4050,-162,1057,-335,232
386500,517,-718,4260,-307,780,65,232
386505,-521,-537,2478,187,924,194,232
386510,138,1025,3238,-159,217,366,232
386515,290,-151,-151,-647,135,214,232
386520,945,-1201,6154,-373,-1531,130,232
386525,115,2,1546,1313,-626,149,232
386530,501,823,7867,1093,-1709,112,232
386535,1577,-568,9798,-773,-788,103,233
386540,819,-509,6173,-795,1054,209,233
386545,604,226,7217,-661,1098,296,233
386550,589,-486,2460,-581,1940,289,233
386555,602,212,1404,-756,1235,369,233
386560,313,112,1404,-783,438,366,233
386565,-113,902,2580,3,-244,188,233
386570,-26,-337,890,-41,-593,19,233
386575,494,573,3703,520,-1598,-79,233
386580,35,827,4392,1116,-1074,-488,233
386585,474,-773,7542,-688,-858,-765,233
386590,717,-895,7834,-312,-374,-703,233
386595,674,-133,8332,351,-400,-608,233
386600,606,385,4652,-305,580,-595,233
386605,396,-446,5457,-466,684,-507,233
386610,81,-926,2349,-32,987,-435,233
386615,-40,-887,1612,98,376,-148,233
386620,-152,-183,1692,1115,-177,97,233
386625,457,291,6527,295,-319,138,233
386630,862,-307,1722,-1054,1375,197,233
386635,-156,-1286,2227,-735,482,402,233
386640,135,696,7074,-199,-317,612,233
386645,509,1514,4843,626,449,264,233
386650,528,1325,6167,-247,91,-55,233
386655,413,154,5564,-734,792,-356,233
386660,-194,-226,2015,106,1245,-614,233
386665,94,-485,1748,1107,127,-759,233
386670,924,614,7270,438,-833,-797,233
386675,554,-1683,2663,-914,900,-786,233
386680,266,-1546,1936,-565,70,-412,233
386685,272,593,8138,-105,-1353,-48,233
386690,-179,-228,2160,-28,510,-20,233
386695,-93,315,2858,307,-196,94,233
386700,770,1132,8022,203,-697,93,233
386705,184,-333,3120,-181,1359,-128,233
386710,-21,-1131,4152,-64,739,-193,233
386715,771,-73,5947,353,94,-65,233
386720,514,760,4387,-39,732,-26,233
386725,-24,-405,2229,-120,882,-261,233
386730,563,-664,2549,284,-155,-329,233
386735,534,553,4780,889,-826,-297,233
386740,472,-140,3666,238,-301,-433,233
386745,476,-497,5331,-157,-474,-462,233
386750,597,-641,5968,7,-415,-361,233
386755,-5,22,4456,378,197,-189,233
386760,142,-211,4167,284,399,-130,233
386765,369,541,5597,-155,682,-36,233
386770,89,367,4527,-120,1444,-44,233
386775,125,171,1882,-328,1621,-27,233
386780,424,-233,3992,512,841,-133,233
