번호,분류,출발(From),출발 핀/단자,도착(To),도착 핀/단자,연결 방식,권장 선색,필수,확인,비고
1,점퍼설정,L298N,5V-EN 점퍼,-,-,점퍼캡 꽂음,-,필수,☐,"배터리 7.4V가 7~12V 범위 → 78M05가 5V 생성. 빠지면 VSS에 5V 없어 IN 신호 불가"
2,점퍼설정,L298N,ENA 점퍼캡,-,-,점퍼캡 제거,-,필수,☐,"안 빼면 ENA가 5V 직결 → 항상 최고속. Pi PWM 완전 무시"
3,점퍼설정,L298N,ENB 점퍼캡,-,-,점퍼캡 제거,-,필수,☐,"위와 동일 (우측 채널)"
4,전원-모터,2S 18650 배터리,+ (7.4V),L298N,VS (12V 단자),터미널 나사,빨강,필수,☐,"만충 8.4V / 컷오프 7.0V. 7.0V 이하면 목표속도 미달 → 수집 데이터 오염"
5,전원-모터,2S 18650 배터리,- (GND),L298N,GND 단자,터미널 나사,검정,필수,☐,-
6,전원-모터,전해콘덴서 1000µF,+ 다리,L298N,VS 단자,납땜/터미널,빨강,필수,☐,"⚠️ 극성 주의 - 줄무늬가 GND 쪽. 모터 돌입전류 완충"
7,전원-모터,전해콘덴서 1000µF,- 다리(줄무늬),L298N,GND 단자,납땜/터미널,검정,필수,☐,-
8,전원-Pi,USB PD 보조배터리,USB-C 출력,라즈베리파이 5,USB-C 전원 입력,USB-C 케이블,-,필수,☐,"5V/3A 이상. 케이블은 굵고 짧게(전압강하 주의). 모터와 완전 분리 → Pi 리셋 방지"
9,방향고정,L298N,VSS (5V 출력),L298N,IN1,점퍼선(보드 자체),빨강,필수,☐,"좌측 채널 전진 고정. 보드 안에서 자기 자신끼리 연결"
10,방향고정,L298N,GND,L298N,IN2,점퍼선(보드 자체),검정,필수,☐,"좌측 채널 전진 고정"
11,방향고정,L298N,VSS (5V 출력),L298N,IN3,점퍼선(보드 자체),빨강,필수,☐,"우측 채널 전진 고정"
12,방향고정,L298N,GND,L298N,IN4,점퍼선(보드 자체),검정,필수,☐,"우측 채널 전진 고정. 뒤로 돌면 IN3↔IN4 교체"
13,신호-모터,라즈베리파이 5,물리 12번 (GPIO18),L298N,ENA,점퍼선 F-F,노랑,필수,☐,"좌측 속도 PWM 1kHz. config.py ENA=18"
14,신호-모터,라즈베리파이 5,물리 33번 (GPIO13),L298N,ENB,점퍼선 F-F,주황,필수,☐,"우측 속도 PWM 1kHz. config.py ENB=13"
15,접지공통,라즈베리파이 5,물리 6번 (GND),L298N,GND 단자,점퍼선 F-F,검정,필수,☐,"⚠️ 최중요 - 전원은 분리하되 GND는 반드시 공통. 없으면 PWM 신호가 의미 없음"
16,모터출력,L298N,OUT1,좌측 앞 모터,+ 단자,납땜/커넥터,빨강,필수,☐,"좌측 2개는 같은 극성으로 병렬"
17,모터출력,L298N,OUT2,좌측 앞 모터,- 단자,납땜/커넥터,검정,필수,☐,-
18,모터출력,L298N,OUT1,좌측 뒤 모터,+ 단자,납땜/커넥터,빨강,필수,☐,"OUT1에 좌측 2개 + 단자 함께"
19,모터출력,L298N,OUT2,좌측 뒤 모터,- 단자,납땜/커넥터,검정,필수,☐,"OUT2에 좌측 2개 - 단자 함께"
20,모터출력,L298N,OUT3,우측 앞 모터,+ 단자,납땜/커넥터,빨강,필수,☐,"우측 2개는 같은 극성으로 병렬"
21,모터출력,L298N,OUT4,우측 앞 모터,- 단자,납땜/커넥터,검정,필수,☐,-
22,모터출력,L298N,OUT3,우측 뒤 모터,+ 단자,납땜/커넥터,빨강,필수,☐,-
23,모터출력,L298N,OUT4,우측 뒤 모터,- 단자,납땜/커넥터,검정,필수,☐,"한쪽만 반대로 돌면 그 모터 +/- 교체"
24,센서-IMU,라즈베리파이 5,물리 1번 (3.3V),MPU-6050,VCC,점퍼선 F-F,빨강,필수,☑,"완료 - 전원 LED 확인됨. ⚠️ 5V 아님"
25,센서-IMU,라즈베리파이 5,물리 6번 (GND),MPU-6050,GND,점퍼선 F-F,검정,필수,☑,"완료"
26,센서-IMU,라즈베리파이 5,물리 3번 (GPIO2/SDA),MPU-6050,SDA,점퍼선 F-F,파랑,필수,☑,"완료 - i2cdetect 0x68 확인. ⚠️ BCM2를 물리2번(5V)과 착각 금지"
27,센서-IMU,라즈베리파이 5,물리 5번 (GPIO3/SCL),MPU-6050,SCL,점퍼선 F-F,초록,필수,☑,"완료 - 중력 -0.95g 감지 성공"
28,센서-IMU,MPU-6050,AD0,-,미연결(=GND),-,-,선택,☑,"미연결 시 I2C 주소 0x68. HIGH면 0x69"
29,센서-홀,라즈베리파이 5,물리 1번 or 17번 (3.3V),A3144 홀센서,VCC,점퍼선,빨강,필수,☐,"미연결 상태"
30,센서-홀,라즈베리파이 5,물리 9번 (GND),A3144 홀센서,GND,점퍼선,검정,필수,☐,"미연결 상태"
31,센서-홀,라즈베리파이 5,물리 11번 (GPIO17),A3144 홀센서,DO (출력),점퍼선,흰색,필수,☐,"config.py ENCODER_PIN=17. 인터럽트 입력"
32,센서-홀,A3144 홀센서,DO,3.3V,10kΩ 저항 경유,풀업저항,-,필수,☐,"⚠️ A3144는 개방컬렉터 - 풀업 없으면 신호 안 뜸 (설계명세서 §8 필수)"
33,센서-홀,바퀴,자석 4개,-,센서 대향면,접착/매립,-,필수,☐,"90도 간격 4개. config.py ENCODER_PULSES_PER_REV=4. ⚠️ A3144는 S극에만 반응 - 안 잡히면 자석 뒤집기"
34,센서-홀,A3144 홀센서,센서면,바퀴 자석,-,물리 배치,-,필수,☐,"간격 수 mm 이내. 너무 멀면 감지 안 됨"
35,방열,L298N,L298N 칩 상단,방열판,-,써멀패드/접착,-,필수,☐,"정상 1.2W/채널 · 스톨 시 순간 9W/채널. 없으면 열보호 셧다운으로 주행 중 정지"
36,금지사항,L298N,VSS (5V 출력),라즈베리파이,전원,-,-,금지,☒,"❌ 절대 연결 금지 - L298N 5V는 0.5A로 Pi 5 구동 불가 (설계명세서 §8 명시)"
37,금지사항,라즈베리파이 5,물리 2/4번 (5V),L298N,VS,-,-,금지,☒,"❌ 절대 연결 금지 - 모터 돌입전류로 Pi 브라운아웃/리셋 + 진동 데이터 오염"
